listingTitle,listingPage,dateTime
2018 Santa Cruz 5010 CC XX1,https://sfbay.craigslist.org/sby/bik/d/mountain-view-2018-santa-cruz-5010-cc/7102551335.html,2020-04-08 12:21
Vintage classic old school Breezer  mountain bike wtb stem,https://sfbay.craigslist.org/eby/bik/d/union-city-vintage-classic-old-school/7102969546.html,2020-04-08 11:57
Miyata shredder mountain bike,https://sfbay.craigslist.org/eby/bik/d/union-city-miyata-shredder-mountain-bike/7102969238.html,2020-04-08 11:57
Santa Cruz Hightower - Stolen will pay to get it back,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-hightower/7104115580.html,2020-04-08 11:17
2018 Santa Cruz highball s Carbon 29,https://sfbay.craigslist.org/nby/bik/d/sebastopol-2018-santa-cruz-highball/7102985150.html,2020-04-08 10:16
"1988 ""Muddy Fox Courier"" 18-speed Mountain Bike",https://sfbay.craigslist.org/eby/bik/d/richmond-1988-muddy-fox-courier-18/7100270848.html,2020-04-08 09:57
MOVING: Xootr Ultra Cruz Push Scooter,https://sfbay.craigslist.org/pen/bik/d/mountain-view-moving-xootr-ultra-cruz/7105285894.html,2020-04-08 09:49
"Choose your favorite ride! Road, MTB or hybrid",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-choose-your-favorite-ride/7092085109.html,2020-04-08 09:33
Girls “Cruzer”Bicycle. 20 in,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-girls-cruzerbicycle-20-in/7105257847.html,2020-04-08 09:07
TITUS RACER X 26ER MTB SIZE SMALL(FITS 5'-0 TO 5'-7,https://sfbay.craigslist.org/eby/bik/d/danville-titus-racer-26er-mtb-size/7104215985.html,2020-04-08 08:36
Santa Cruz Nomad (gen 3) XL,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-nomad-gen-3-xl/7093852115.html,2020-04-08 07:31
EPX Terra Shark Carbon 18” Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/milpitas-epx-terra-shark-carbon-18/7103802197.html,2020-04-08 07:20
"BUYING Vintage Mountain, Road, Old School BMX Bikes",https://sfbay.craigslist.org/eby/bik/d/san-lorenzo-buying-vintage-mountain/7105191507.html,2020-04-08 07:13
1992 Bridgestone MB-3 Classic Mountain Bike w/ original Manitou Shocks,https://sfbay.craigslist.org/nby/bik/d/forest-knolls-1992-bridgestone-mb-3/7105115270.html,2020-04-08 00:08
2019 Santa Cruz Chameleon Bike - Small Custom,https://sfbay.craigslist.org/eby/bik/d/fremont-2019-santa-cruz-chameleon-bike/7102238130.html,2020-04-07 23:54
Adroit Substrate C3 29er Mountain Bike - XL frame,https://sfbay.craigslist.org/eby/bik/d/fairfield-adroit-substrate-c3-29er/7090435118.html,2020-04-07 23:40
Marin Muirwoods x-small mountain bike,https://sfbay.craigslist.org/eby/bik/d/berkeley-marin-muirwoods-small-mountain/7105111820.html,2020-04-07 23:32
"Santa Cruz Tazmon Frame medium 16""",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-tazmon-frame/7105109363.html,2020-04-07 23:08
Santa Cruz Hightower LT CC,https://sfbay.craigslist.org/pen/bik/d/mountain-view-santa-cruz-hightower-lt-cc/7099394317.html,2020-04-07 22:52
BMC 29er hardtail mountain bike,https://sfbay.craigslist.org/eby/bik/d/hayward-bmc-29er-hardtail-mountain-bike/7102578367.html,2020-04-07 22:06
MARIN Muirwoods Black 15” Small Mountain MTB ATB Bike Shimano 8 spd,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-marin-muirwoods-black-15/7105090509.html,2020-04-07 21:03
"26"" Roadmaster - Mountain bike style",https://sfbay.craigslist.org/eby/bik/d/walnut-creek-26-roadmaster-mountain/7105083955.html,2020-04-07 20:34
FOLDING ELECTRIC MOUNTAIN BIKE,https://sfbay.craigslist.org/eby/bik/d/brentwood-folding-electric-mountain-bike/7100479239.html,2020-04-07 20:19
2019 Santa Cruz Blur CC Small,https://sfbay.craigslist.org/sby/bik/d/san-jose-2019-santa-cruz-blur-cc-small/7097496064.html,2020-04-07 19:59
Marin Kids Mountain Bike 24” tires 17” frame,https://sfbay.craigslist.org/nby/bik/d/belvedere-tiburon-marin-kids-mountain/7105064824.html,2020-04-07 19:11
2018 Santa Cruz Tallboy CC XX1 Reserve 29,https://sfbay.craigslist.org/eby/bik/d/fairfield-2018-santa-cruz-tallboy-cc/7096617035.html,2020-04-07 18:47
Mountain Bikes,https://sfbay.craigslist.org/pen/bik/d/palo-alto-mountain-bikes/7105040928.html,2020-04-07 17:53
Santa Cruz Nomad large,https://sfbay.craigslist.org/sby/bik/d/san-jose-santa-cruz-nomad-large/7105031402.html,2020-04-07 17:49
2015 Santa Cruz carbon 5010 cc / Medium,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-2015-santa-cruz-carbon-5010/7105026721.html,2020-04-07 17:39
2019 Santa Cruz Stigmata CC with Dura-Ace Di2/XTR drivetrain (56cm),https://sfbay.craigslist.org/pen/bik/d/belmont-2019-santa-cruz-stigmata-cc/7105023539.html,2020-04-07 17:34
Santa Cruz Blur 2019,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-blur-2019/7104981786.html,2020-04-07 17:16
1987 Steve Potts Vintage Mountain Bike,https://sfbay.craigslist.org/nby/bik/d/san-rafael-1987-steve-potts-vintage/7105000758.html,2020-04-07 16:10
19”  Aluminum 21 speed MTB Tuned up,https://sfbay.craigslist.org/nby/bik/d/san-francisco-19-aluminum-21-speed-mtb/7093360050.html,2020-04-07 15:55
19” (L) Jamis Dakar Full Suspension mountain ready bike,https://sfbay.craigslist.org/nby/bik/d/mill-valley-19-jamis-dakar-full/7100340395.html,2020-04-07 15:55
16” CyclePro 18 spd MTB Tuned up And ready to roll,https://sfbay.craigslist.org/nby/bik/d/mill-valley-16-cyclepro-18-spd-mtb/7092707497.html,2020-04-07 15:55
2019 Santa Cruz Blur CC X01 Trail Reserve,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-blur-cc/7104987387.html,2020-04-07 15:35
2019 Santa Cruz Hightower C S,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-hightower/7104973257.html,2020-04-07 15:05
2019 Santa Cruz Hightower CC X01 Reserve,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-hightower/7104971831.html,2020-04-07 15:02
2019 Santa Cruz Tallboy C S,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-tallboy-s/7104970532.html,2020-04-07 14:59
Mountain Bike Next PS4,https://sfbay.craigslist.org/sby/bik/d/sunnyvale-mountain-bike-next-ps4/7104939870.html,2020-04-07 14:05
2020 Santa Cruz Nomad C GX1,https://sfbay.craigslist.org/nby/bik/d/san-rafael-2020-santa-cruz-nomad-gx1/7102388680.html,2020-04-07 14:04
Santa Cruz - Stigmata,https://sfbay.craigslist.org/eby/bik/d/walnut-creek-santa-cruz-stigmata/7104888809.html,2020-04-07 12:41
Santa Cruz Blur,https://sfbay.craigslist.org/nby/bik/d/petaluma-santa-cruz-blur/7104881424.html,2020-04-07 12:34
2017 Santa Cruz Bronson CC X01,https://sfbay.craigslist.org/sby/bik/d/los-altos-2017-santa-cruz-bronson-cc-x01/7101938224.html,2020-04-07 12:34
two mountain   bikes for sale,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-two-mountain-bikes-for/7103852602.html,2020-04-07 12:20
Titanium Mountain Bike by Seven MTB,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-titanium-mountain-bike-by/7104870588.html,2020-04-07 12:07
2016 Santa Cruz Bronson Carbon - XL,https://sfbay.craigslist.org/sfc/bik/d/outer-nunavut-2016-santa-cruz-bronson/7104858052.html,2020-04-07 11:47
Marin Muirwoods x-small mountain bike,https://sfbay.craigslist.org/eby/bik/d/berkeley-marin-muirwoods-small-mountain/7097954615.html,2020-04-07 11:39
Men’s/Women’s Med Mountain Bike with upgraded parts,https://sfbay.craigslist.org/pen/bik/d/san-bruno-mens-womens-med-mountain-bike/7103598372.html,2020-04-07 10:26
"Upgraded M/F Mountain Bike New Shifters, gel seat ready to ride!",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-upgraded-f-mountain-bike/7103595367.html,2020-04-07 10:25
TITUS RACER X 26ER MTB SIZE SMALL(FITS 5'-0 TO 5'-7,https://sfbay.craigslist.org/eby/bik/d/danville-titus-racer-26er-mtb-size/7100663103.html,2020-04-07 10:12
SOMA MOUNTAIN BIKE 29ER,https://sfbay.craigslist.org/pen/bik/d/millbrae-soma-mountain-bike-29er/7102602284.html,2020-04-07 08:25
MOTIV SMOOTHIE MOUNTAIN BIKE,https://sfbay.craigslist.org/pen/bik/d/millbrae-motiv-smoothie-mountain-bike/7100738919.html,2020-04-07 08:24
Santa Cruz made Bontrager,https://sfbay.craigslist.org/sfc/bik/d/cupertino-santa-cruz-made-bontrager/7104709353.html,2020-04-07 08:17
Santa Cruz VP Free Size Large - $1250.00 o.b.o.,https://sfbay.craigslist.org/eby/bik/d/danville-santa-cruz-vp-free-size-large/7104720001.html,2020-04-07 08:08
Santa Cruz made Bontrager,https://sfbay.craigslist.org/sfc/bik/d/cupertino-santa-cruz-made-bontrager/7104709295.html,2020-04-07 07:49
Vintage electra rat rod cruzier,https://sfbay.craigslist.org/eby/bik/d/alameda-vintage-electra-rat-rod-cruzier/7104708269.html,2020-04-07 07:47
Beiou M-40 Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/san-jose-beiou-40-mountain-bike/7104674407.html,2020-04-07 06:38
Mountain bike   SOLD,https://sfbay.craigslist.org/eby/bik/d/moraga-mountain-bike-sold/7104607249.html,2020-04-06 22:37
Santa Cruz Blur Aluminum Version,https://sfbay.craigslist.org/pen/bik/d/pacifica-santa-cruz-blur-aluminum/7101645570.html,2020-04-06 20:48
Santana Tandem Bike,https://sfbay.craigslist.org/sby/bik/d/santana-tandem-bike/7100986064.html,2020-04-06 20:48
Santa Cruz Chameleon Aluminum Large,https://sfbay.craigslist.org/nby/bik/d/vallejo-santa-cruz-chameleon-aluminum/7104572811.html,2020-04-06 19:48
Custom E-MTB 45+ MPH & Hitch Rack,https://sfbay.craigslist.org/nby/bik/d/sausalito-custom-mtb-45-mph-hitch-rack/7091177976.html,2020-04-06 19:17
Miyata Koga Carbolite Skyrunner Mountain Bike Rare Bonded Carbon Fiber,https://sfbay.craigslist.org/sby/bik/d/san-jose-miyata-koga-carbolite/7093855871.html,2020-04-06 19:16
2012 Santa Cruz nomad  Xl carbon bike,https://sfbay.craigslist.org/scz/bik/d/soquel-2012-santa-cruz-nomad-xl-carbon/7104528587.html,2020-04-06 17:23
2019 XX1 SANTA CRUZ 5010,https://sfbay.craigslist.org/scz/bik/d/santa-cruz-2019-xx1-santa-cruz-5010/7101488031.html,2020-04-06 15:54
new mtb shimano drivetrain get ready for spring loose  weight save mon,https://sfbay.craigslist.org/eby/bik/d/dublin-new-mtb-shimano-drivetrain-get/7098100462.html,2020-04-06 15:49
Mountain bike size medium fitness bike bicycle,https://sfbay.craigslist.org/eby/bik/d/san-leandro-mountain-bike-size-medium/7101654302.html,2020-04-06 15:17
Santa Cruz Superlight Full Suspension Mountain Bike,https://sfbay.craigslist.org/pen/bid/d/palo-alto-santa-cruz-superlight-full/7104465352.html,2020-04-06 14:50
2020 Bulls Sharptail 2 Hardtail Mountain Bike,https://sfbay.craigslist.org/pen/bid/d/stanford-2020-bulls-sharptail-2/7104462185.html,2020-04-06 14:44
2020 Bulls Sharptail 3 Hardtail Mountain Bike,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2020-bulls-sharptail-3/7104461230.html,2020-04-06 14:42
Santa Cruz Hightower Carbon C,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-hightower/7104445912.html,2020-04-06 14:42
Full suspension Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/hayward-full-suspension-mountain-bike/7104457708.html,2020-04-06 14:39
Full suspension Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/hayward-full-suspension-mountain-bike/7104457567.html,2020-04-06 14:39
Full suspension Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/hayward-full-suspension-mountain-bike/7104457438.html,2020-04-06 14:39
Full suspension Mountain Bike,https://sfbay.craigslist.org/pen/bik/d/hayward-full-suspension-mountain-bike/7104457344.html,2020-04-06 14:39
Full suspension Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/hayward-full-suspension-mountain-bike/7104457232.html,2020-04-06 14:39
2018 Santa Cruz Nomad CC X01,https://sfbay.craigslist.org/eby/bik/d/berkeley-2018-santa-cruz-nomad-cc-x01/7103102307.html,2020-04-06 14:27
2014 Marin Mount Vision 7 Mountain Bike,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2014-marin-mount-vision-7/7104445832.html,2020-04-06 14:13
2020 Marin Mount Vision 8 Carbon Mountain Bike,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2020-marin-mount-vision-8/7104443304.html,2020-04-06 14:09
UNIVEGA MOUNTAIN BIKE MINT,https://sfbay.craigslist.org/eby/bik/d/benicia-univega-mountain-bike-mint/7102099306.html,2020-04-06 14:06
2017 Santa Cruz 5010 CC. Size L.Reserve wheels,https://sfbay.craigslist.org/scz/bik/d/aptos-2017-santa-cruz-5010-cc-size/7104435398.html,2020-04-06 13:58
Intense Spider 27.5 MTB - Medium - Shimano XT M8000 - Fox Factory 34,https://sfbay.craigslist.org/sby/bik/d/san-jose-intense-spider-275-mtb-medium/7104422249.html,2020-04-06 13:34
2018 Santa Cruz Bronson C S,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2018-santa-cruz-bronson-s/7104419987.html,2020-04-06 13:26
2019 Bulls E-Core EVO EN Di2 Electric Mountain Bike,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-bulls-core-evo-en/7104419052.html,2020-04-06 13:25
2020 Marin Mount Vision 9 Carbon Mountain Bike,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2020-marin-mount-vision-9/7104416202.html,2020-04-06 13:20
2019 Santa Cruz Stigmata CC CX1 Cross Bike,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-stigmata/7104415648.html,2020-04-06 13:18
2019 Santa Cruz 5010 C S+ - 27.5 - Medium,https://sfbay.craigslist.org/pen/bik/d/millbrae-2019-santa-cruz-5010-s-medium/7104411199.html,2020-04-06 13:15
2020 Santa Cruz Megatower ***Custom Build***,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2020-santa-cruz-megatower/7104412181.html,2020-04-06 13:12
"24"" Mountain Bike",https://sfbay.craigslist.org/sby/bik/d/san-jose-24-mountain-bike/7098454510.html,2020-04-06 13:08
2016 Santa Cruz 5010 CC X01,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-2016-santa-cruz-5010-cc/7100233147.html,2020-04-06 13:08
2017 Marin Pine Mountain 2,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2017-marin-pine-mountain-2/7104404623.html,2020-04-06 13:00
2020 Marin Pine Mountain E1 Electric Mountian Bike,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2020-marin-pine-mountain-e1/7104399100.html,2020-04-06 12:50
2016 Santa Cruz Nomad V3 Carbon CC Medium,https://sfbay.craigslist.org/nby/bik/d/sebastopol-2016-santa-cruz-nomad-v3/7098296256.html,2020-04-06 12:39
2019 Santa Cruz Tallboy C S Kit,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2019-santa-cruz-tallboy-s-kit/7104392786.html,2020-04-06 12:39
2019 Santa Cruz Bronson XO1+ RSV,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2019-santa-cruz-bronson-xo1/7104390881.html,2020-04-06 12:35
2019 Santa Cruz Hightower C S Kit,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2019-santa-cruz-hightower-s/7104389355.html,2020-04-06 12:33
2019 Santa Cruz Hightower LT C S Kit,https://sfbay.craigslist.org/pen/bid/d/palo-alto-2019-santa-cruz-hightower-lt/7104388805.html,2020-04-06 12:32
2017 Marin Pine Mountain 2 Mountain Bike,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2017-marin-pine-mountain/7104383293.html,2020-04-06 12:23
Mountain bike 17” frame “Mountainer Outfitters”,https://sfbay.craigslist.org/sby/bik/d/san-jose-mountain-bike-17-frame/7104342472.html,2020-04-06 11:21
2019 Santa Cruz nomad cc reserve,https://sfbay.craigslist.org/scz/bik/d/capitola-2019-santa-cruz-nomad-cc/7098067393.html,2020-04-06 10:55
Performance (REI) M303 Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/performance-rei-m303-mountain-bike/7098858344.html,2020-04-06 10:30
2018 Santa Cruz 5010 CC X01,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-2018-santa-cruz-5010-cc/7104240012.html,2020-04-06 08:41
2019 Santa Cruz Highball C: 2020 Custom Build (Small),https://sfbay.craigslist.org/sby/bik/d/gilroy-2019-santa-cruz-highball-2020/7099956194.html,2020-04-06 07:59
2010 Santa Cruz nomad carbon,https://sfbay.craigslist.org/pen/bik/d/redwood-city-2010-santa-cruz-nomad/7104116040.html,2020-04-06 00:21
Mountain bike with front shocks,https://sfbay.craigslist.org/pen/bik/d/san-mateo-mountain-bike-with-front/7104084304.html,2020-04-05 20:24
Guerrilla Gravity Pedalhead 29er Mountain Bike Hardtail,https://sfbay.craigslist.org/pen/bik/d/mountain-view-guerrilla-gravity/7100647592.html,2020-04-05 18:04
2019 Santa Cruz Nomad CC 27.5”,https://sfbay.craigslist.org/eby/bik/d/emeryville-2019-santa-cruz-nomad-cc-275/7104036309.html,2020-04-05 17:31
Canondale F400 Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/canondale-f400-mountain-bike/7103980601.html,2020-04-05 14:54
2016 Santa Cruz Bronson CC,https://sfbay.craigslist.org/nby/bik/d/mill-valley-2016-santa-cruz-bronson-cc/7097701122.html,2020-04-05 14:21
Lynx mountain bike 18 speeds good condition,https://sfbay.craigslist.org/pen/bik/d/pacifica-lynx-mountain-bike-18-speeds/7098417117.html,2020-04-05 14:09
Haro Escape 21 speed Mountain Bike,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-haro-escape-21-speed/7101354743.html,2020-04-05 13:01
2020 Santa Cruz Hightower XTR Reserve,https://sfbay.craigslist.org/scz/bik/d/capitola-2020-santa-cruz-hightower-xtr/7089405408.html,2020-04-05 12:54
Parkpre Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/danville-parkpre-mountain-bike/7103887587.html,2020-04-05 11:28
downhill mountain ebike integrated mid drive,https://sfbay.craigslist.org/sfc/bik/d/orinda-downhill-mountain-ebike/7103877057.html,2020-04-05 11:17
Parkpre Mountain Bike,https://sfbay.craigslist.org/eby/bik/d/pleasanton-parkpre-mountain-bike/7103880651.html,2020-04-05 11:14
Electric Mountain Bike,https://sfbay.craigslist.org/pen/bik/d/san-mateo-electric-mountain-bike/7103879127.html,2020-04-05 11:11
2018 Santa Cruz Bronson C R,https://sfbay.craigslist.org/scz/bik/d/santa-cruz-2018-santa-cruz-bronson-r/7098924278.html,2020-04-05 10:57
Kelly Deluxe mountain bike,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-kelly-deluxe-mountain-bike/7103858149.html,2020-04-05 10:29
"1996 PRO FLEX 756 World cup design  mountain bike, 16"" frame, RARE.",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-1996-pro-flex-756-world/7100573391.html,2020-04-05 10:10
Vintage Restored IBOC Team Mountain Bike Beautiful Vintage bike,https://sfbay.craigslist.org/sfc/bik/d/vintage-restored-iboc-team-mountain/7103824673.html,2020-04-05 09:20
"Bicycle Motorized, street, mountain.",https://sfbay.craigslist.org/nby/bik/d/san-rafael-bicycle-motorized-street/7102866421.html,2020-04-05 09:13
SANTA CRUZ BLUR,https://sfbay.craigslist.org/eby/bik/d/clayton-santa-cruz-blur/7102211361.html,2020-04-05 08:14
Santa Cruz 5010 C S+ - 2019,https://sfbay.craigslist.org/eby/bik/d/dublin-santa-cruz-5010-s/7103723146.html,2020-04-05 01:49
"26"" Roadmaster Granite Peak Mountain Bike",https://sfbay.craigslist.org/eby/bik/d/oakland-26-roadmaster-granite-peak/7093692504.html,2020-04-04 22:02
2015 Ghost Kato FS 5 Men's Medium Mountain Bike Red/Black Upgraded,https://sfbay.craigslist.org/scz/bik/d/santa-cruz-2015-ghost-kato-fs-5-mens/7103663567.html,2020-04-04 19:56
2020 Santa Cruz Bronson C  S-build,https://sfbay.craigslist.org/sby/bik/d/sunnyvale-2020-santa-cruz-bronson-s/7103677884.html,2020-04-04 19:44
"Fuji Blaster Purple Mountain Bike, 24in,21speed, orig $240",https://sfbay.craigslist.org/eby/bik/d/danville-fuji-blaster-purple-mountain/7093303180.html,2020-04-04 19:03
"Small DEVINCI Spartan GX Eagle 1x12 FS 27.5"" MTB ~5'2""-5'7""",https://sfbay.craigslist.org/nby/bik/d/santa-rosa-small-devinci-spartan-gx/7098751896.html,2020-04-04 14:17
Barracuda mountain bike,https://sfbay.craigslist.org/pen/bik/d/el-granada-barracuda-mountain-bike/7103506293.html,2020-04-04 12:28
Eighties Era Vintage Hunter brand MTB,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-eighties-era-vintage/7093898008.html,2020-04-04 09:56
Yeti SB75 / Santa Cruz,https://sfbay.craigslist.org/pen/bik/d/belmont-yeti-sb75-santa-cruz/7094773064.html,2020-04-04 09:27
excellent youth mountain bike(s) with warranty,https://sfbay.craigslist.org/sby/bik/d/san-jose-excellent-youth-mountain-bikes/7103348567.html,2020-04-04 08:24
Santa cruz bike,https://sfbay.craigslist.org/sby/bik/d/santa-clara-santa-cruz-bike/7103262663.html,2020-04-04 00:26